board,listing_year,feature,n,mean_shap,mean_abs_shap
创业板,2022.0,concurrent_ipo_count,122,0.01141651446116984,0.012511034171920529
创业板,2022.0,same_board_break_rate_ma10,122,-0.00574283242336294,0.01228224516945879
创业板,2023.0,subscription_step_10k,100,0.1044257617943292,0.1044257617943292
创业板,2023.0,recent_ipo_first_day_return_ma20,100,-0.06024391021881845,0.08581275020793627
创业板,2023.0,market_turnover_ma20,100,0.0654103428451525,0.06841585724193679
创业板,2023.0,subscription_upper_limit_10k,100,0.013153484304579162,0.06474847492488302
创业板,2023.0,offline_issue_before_clawback_10k,100,0.009423439806235452,0.06387464613512689
创业板,2023.0,offline_issue_before_share_pct,100,-0.05253016162446911,0.059873717360006795
创业板,2023.0,subscription_lower_limit_10k,100,0.030425068805595968,0.05233969437709012
创业板,2023.0,total_issue_shares_10k,100,0.00986600033693513,0.033486117103699566
创业板,2023.0,strategic_allocation_share_pct,100,-0.004220106906518722,0.029817235282239743
创业板,2023.0,market_turnover_ma20_over_ma60,100,0.028020581451637758,0.028452355463642668
创业板,2023.0,online_issue_before_clawback_10k,100,0.006436667580849743,0.023950148188021752
创业板,2023.0,comparable_pe_avg_ex_nonrecurring,100,0.009285984382287065,0.023227590280365633
创业板,2023.0,strategic_allocation_10k,100,0.012762055309036317,0.02109845533225481
创业板,2023.0,same_board_concurrent_ipo_count,100,0.01780900579964201,0.018419895911332144
创业板,2023.0,market_return_ma20,100,0.0019676075402762176,0.01746436474501653
创业板,2023.0,market_turnover_pct_rank_1y,100,0.008345812016710023,0.017097598207368236
创业板,2023.0,industry_pe_at_ipo,100,0.003984733820629813,0.014048503650677353
创业板,2023.0,board,100,0.008075612229800822,0.013234508456027173
创业板,2023.0,concurrent_ipo_count,100,0.012247047132564661,0.01273235615475715
创业板,2023.0,same_board_break_rate_ma10,100,-0.006398860006131888,0.012204740892650752
创业板,2023.0,concurrent_offline_issue_sum_10k,100,-0.006716277892775608,0.01219034927164518
创业板,2024.0,market_turnover_ma20,28,-0.00950517773652616,0.13505601640538692
创业板,2024.0,subscription_step_10k,28,0.10491653139609824,0.10491653139609824
创业板,2024.0,recent_ipo_first_day_return_ma20,28,0.07782193923730205,0.07782193923730205
创业板,2024.0,market_turnover_ma20_over_ma60,28,-0.0012704795368651198,0.06798884651223111
创业板,2024.0,offline_issue_before_share_pct,28,-0.010112706335119815,0.06586245687880628
创业板,2024.0,offline_issue_before_clawback_10k,28,0.03698241272168934,0.06361439772390236
创业板,2024.0,subscription_upper_limit_10k,28,-0.02199383503081551,0.05551883059312947
创业板,2024.0,market_turnover_pct_rank_1y,28,0.036524821294707396,0.05378207846979777
创业板,2024.0,subscription_lower_limit_10k,28,0.01926561185964341,0.05315933659842394
创业板,2024.0,board,28,0.03149323873166971,0.03250148163769022
创业板,2024.0,total_issue_shares_10k,28,0.02040752030089128,0.02772416378091821
创业板,2024.0,strategic_allocation_10k,28,-0.0030308455090163984,0.019557540220243308
创业板,2024.0,strategic_allocation_share_pct,28,0.01059706401896677,0.019032224967378063
创业板,2024.0,online_issue_before_clawback_10k,28,0.01623489433861818,0.018361695701622115
创业板,2024.0,same_board_concurrent_ipo_count,28,0.017946111066402655,0.017946111066402655
创业板,2024.0,comparable_pe_avg_ex_nonrecurring,28,0.00829043586661395,0.016928623311343014
创业板,2024.0,market_return_ma20,28,-0.0009020345681150455,0.01496646774826342
创业板,2024.0,concurrent_offline_issue_sum_10k,28,-0.0004860699197157015,0.01364378454170938
创业板,2024.0,industry_pe_at_ipo,28,0.001616730238490299,0.010900113067245434
创业板,2024.0,concurrent_ipo_count,28,-0.0030796324793671026,0.00788294301722059
创业板,2024.0,same_board_break_rate_ma10,28,0.006090864474983253,0.006487760728485414
创业板,2025.0,market_turnover_ma20,28,0.1641828745197421,0.1641828745197421
创业板,2025.0,recent_ipo_first_day_return_ma20,28,0.11682533375175737,0.11682533375175737
创业板,2025.0,subscription_step_10k,28,0.10792522737273459,0.10792522737273459
创业板,2025.0,subscription_upper_limit_10k,28,0.020577359083081986,0.08592993790033317
创业板,2025.0,offline_issue_before_clawback_10k,28,0.003938597950217588,0.07431664026724409
创业板,2025.0,offline_issue_before_share_pct,28,0.004048600585817971,0.06456495989518142
创业板,2025.0,subscription_lower_limit_10k,28,0.040645700408642564,0.0481903700465243
