factor,factor_group,scope,scope_value,n,spearman_ic,abs_ic,icir_by_year,status
offline_issue_before_clawback_10k,发行供给因子,year,2019.0,70,-0.3924519059677003,0.3924519059677003,,ok
market_turnover_ma20,市场流动性因子,year,2019.0,70,-0.37977929623680384,0.37977929623680384,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2020.0,226,-0.37846651421276456,0.37846651421276456,,ok
offline_issue_before_share_pct,发行供给因子,year,2025.0,83,-0.3741248857239277,0.3741248857239277,,ok
industry_pe_at_ipo,估值因子,year,2019.0,70,0.3698978105525788,0.3698978105525788,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2019.0,70,-0.367048154407628,0.367048154407628,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2019.0,70,-0.367048154407628,0.367048154407628,,ok
total_issue_shares_10k,发行供给因子,year,2019.0,70,-0.36685787221212357,0.36685787221212357,,ok
subscription_lower_limit_10k,申购规则因子,year,2020.0,226,0.35925573906841096,0.35925573906841096,,ok
industry_pe_at_ipo,估值因子,year,2024.0,66,-0.3203523752444683,0.3203523752444683,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2020.0,226,-0.3192281935926736,0.3192281935926736,,ok
market_return_ma20,市场情绪因子,year,2019.0,70,-0.31900198343060004,0.31900198343060004,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2019.0,65,-0.31875,0.31875,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2021.0,309,0.31694885586256477,0.31694885586256477,,ok
subscription_step_10k,申购规则因子,year,2026.0,29,0.31622776601683794,0.31622776601683794,,ok
offline_issue_before_share_pct,发行供给因子,year,2023.0,204,-0.29143457452502664,0.29143457452502664,,ok
same_board_break_rate_ma10,市场情绪因子,year,2023.0,193,-0.28752452050514754,0.28752452050514754,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2020.0,216,0.27760273401683755,0.27760273401683755,,ok
offline_issue_before_share_pct,发行供给因子,year,2019.0,70,-0.27134908768183763,0.27134908768183763,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2025.0,83,-0.2683976323412115,0.2683976323412115,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2020.0,226,-0.26463184353310215,0.26463184353310215,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2024.0,66,-0.2621058246866482,0.2621058246866482,,ok
total_issue_shares_10k,发行供给因子,year,2022.0,248,-0.2581595531878588,0.2581595531878588,,ok
subscription_upper_limit_10k,申购规则因子,year,2025.0,83,-0.2566806757789983,0.2566806757789983,,ok
offline_issue_before_share_pct,发行供给因子,year,2026.0,29,-0.2544648375010404,0.2544648375010404,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2022.0,248,0.25349353532715163,0.25349353532715163,,ok
market_return_ma20,市场情绪因子,year,2021.0,309,0.2495159234143486,0.2495159234143486,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2022.0,248,-0.24829482805534314,0.24829482805534314,,ok
same_board_break_rate_ma10,市场情绪因子,year,2020.0,180,-0.2463048795158938,0.2463048795158938,,ok
same_board_break_rate_ma10,市场情绪因子,year,2022.0,248,-0.2401260888224443,0.2401260888224443,,ok
subscription_lower_limit_10k,申购规则因子,year,2022.0,248,0.23525476015823416,0.23525476015823416,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2020.0,226,-0.2345239911436907,0.2345239911436907,,ok
market_return_ma20,市场情绪因子,year,2024.0,66,-0.23246104005462592,0.23246104005462592,,ok
subscription_upper_limit_10k,申购规则因子,year,2022.0,248,-0.23075903669963413,0.23075903669963413,,ok
market_return_ma20,市场情绪因子,year,2020.0,226,-0.21939091408133968,0.21939091408133968,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,year,2024.0,65,-0.21901223776223777,0.21901223776223777,,ok
subscription_lower_limit_10k,申购规则因子,year,2021.0,309,0.21766387828777473,0.21766387828777473,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2021.0,309,0.2056934609393112,0.2056934609393112,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2021.0,309,-0.205112962941697,0.205112962941697,,ok
subscription_step_10k,申购规则因子,year,2022.0,248,0.2005289386372516,0.2005289386372516,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2025.0,83,0.2000335838126023,0.2000335838126023,,ok
subscription_step_10k,申购规则因子,year,2021.0,309,0.19917357179777379,0.19917357179777379,,ok
total_issue_shares_10k,发行供给因子,year,2021.0,309,-0.19823380510208433,0.19823380510208433,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2024.0,66,0.19754206416433645,0.19754206416433645,,ok
subscription_upper_limit_10k,申购规则因子,year,2026.0,29,-0.19568703652840372,0.19568703652840372,,ok
market_turnover_pct_rank_1y,市场流动性因子,year,2024.0,66,-0.18654668511871395,0.18654668511871395,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2024.0,66,-0.18442751278572178,0.18442751278572178,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,year,2022.0,224,-0.18137581751861306,0.18137581751861306,,ok
subscription_upper_limit_10k,申购规则因子,year,2021.0,309,-0.18119966132263224,0.18119966132263224,,ok
strategic_allocation_share_pct,发行供给因子,year,2019.0,70,0.17776306501527428,0.17776306501527428,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2020.0,226,-0.17680045229641847,0.17680045229641847,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2025.0,83,0.17409603856211664,0.17409603856211664,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2023.0,204,-0.17226646804672377,0.17226646804672377,,ok
subscription_lower_limit_10k,申购规则因子,year,2024.0,66,0.1720787880439305,0.1720787880439305,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2024.0,63,0.17089093701996927,0.17089093701996927,,ok
subscription_step_10k,申购规则因子,year,2023.0,204,0.17065788555246295,0.17065788555246295,,ok
total_issue_shares_10k,发行供给因子,year,2025.0,83,-0.160228793344967,0.160228793344967,,ok
market_return_ma20,市场情绪因子,year,2025.0,83,0.15843610671581063,0.15843610671581063,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,year,2025.0,75,-0.1577962858950715,0.1577962858950715,,ok
market_return_ma20,市场情绪因子,year,2023.0,204,-0.15283956400817467,0.15283956400817467,,ok
strategic_allocation_share_pct,发行供给因子,year,2020.0,167,-0.15132922229765403,0.15132922229765403,,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,year,2021.0,309,0.14854026794773909,0.14854026794773909,,ok
market_turnover_ma20,市场流动性因子,year,2024.0,66,-0.14628239853280323,0.14628239853280323,,ok
strategic_allocation_share_pct,发行供给因子,year,2025.0,72,-0.14303614757817268,0.14303614757817268,,ok
industry_pe_at_ipo,估值因子,year,2023.0,202,-0.14047414610906686,0.14047414610906686,,ok
market_turnover_ma20,市场流动性因子,year,2023.0,204,-0.13977226968337592,0.13977226968337592,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2023.0,204,-0.13943381573856153,0.13943381573856153,,ok
offline_issue_before_share_pct,发行供给因子,year,2020.0,226,0.1341791237293683,0.1341791237293683,,ok
strategic_allocation_share_pct,发行供给因子,year,2022.0,182,-0.12871254193583392,0.12871254193583392,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2026.0,29,-0.12610837438423642,0.12610837438423642,,ok
concurrent_ipo_count,IPO供给拥挤因子,year,2025.0,83,-0.12524663527227015,0.12524663527227015,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2023.0,204,0.12156796242301693,0.12156796242301693,,ok
industry_pe_at_ipo,估值因子,year,2021.0,299,-0.12028284549256589,0.12028284549256589,,ok
offline_issue_before_clawback_10k,发行供给因子,year,2023.0,204,-0.11240950818700982,0.11240950818700982,,ok
