security_code,security_name,board,listing_year,period,log_offline_oversubscription,feature,shap,abs_shap
688206.SH,概伦电子,科创板,2021.0,2021-2022 扩容与破发阶段,8.079459218762752,strategic_allocation_share_pct,0.016784906553796636,0.016784906553796636
688207.SH,格灵深瞳,科创板,2022.0,2021-2022 扩容与破发阶段,7.2866346302994165,strategic_allocation_share_pct,-0.12448715136062309,0.12448715136062309
688208.SH,道通科技,科创板,2020.0,2019-2020 注册制早期,7.201509379303855,strategic_allocation_share_pct,-0.1453699585249072,0.1453699585249072
688209.SH,英集芯,科创板,2022.0,2021-2022 扩容与破发阶段,7.930216962022527,strategic_allocation_share_pct,0.009288466057857379,0.009288466057857379
688210.SH,统联精密,科创板,2021.0,2021-2022 扩容与破发阶段,8.321859437998633,strategic_allocation_share_pct,0.04721327305542841,0.04721327305542841
688211.SH,中科微至,科创板,2021.0,2021-2022 扩容与破发阶段,7.8889593992223634,strategic_allocation_share_pct,-0.1683145362903273,0.1683145362903273
688212.SH,澳华内镜,科创板,2021.0,2021-2022 扩容与破发阶段,8.057787002415099,strategic_allocation_share_pct,0.025019340933812393,0.025019340933812393
688213.SH,思特威-W,科创板,2022.0,2021-2022 扩容与破发阶段,6.82971232879342,strategic_allocation_share_pct,-0.038130587359763705,0.038130587359763705
688215.SH,瑞晟智能,科创板,2020.0,2019-2020 注册制早期,7.93599048858987,strategic_allocation_share_pct,0.026733562893174582,0.026733562893174582
688216.SH,气派科技,科创板,2021.0,2021-2022 扩容与破发阶段,8.647750097137497,strategic_allocation_share_pct,0.05929947323578214,0.05929947323578214
688217.SH,睿昂基因,科创板,2021.0,2021-2022 扩容与破发阶段,8.538408232550925,strategic_allocation_share_pct,0.06421585440699294,0.06421585440699294
688218.SH,江苏北人,科创板,2019.0,2019-2020 注册制早期,6.423057822270816,strategic_allocation_share_pct,0.020322050099967008,0.020322050099967008
688219.SH,会通股份,科创板,2020.0,2019-2020 注册制早期,7.909388716387774,strategic_allocation_share_pct,0.03324140601259604,0.03324140601259604
688220.SH,翱捷科技-U,科创板,2022.0,2021-2022 扩容与破发阶段,6.978490218853105,strategic_allocation_share_pct,-0.026816462899023324,0.026816462899023324
688221.SH,前沿生物-U,科创板,2020.0,2019-2020 注册制早期,7.652448394513312,strategic_allocation_share_pct,-0.11072007293565837,0.11072007293565837
688222.SH,成都先导,科创板,2020.0,2019-2020 注册制早期,7.379362559192039,strategic_allocation_share_pct,-0.003826990966613817,0.003826990966613817
688223.SH,晶科能源,科创板,2022.0,2021-2022 扩容与破发阶段,7.250578306571926,strategic_allocation_share_pct,-0.10106456402236412,0.10106456402236412
688225.SH,亚信安全,科创板,2022.0,2021-2022 扩容与破发阶段,8.059420443066719,strategic_allocation_share_pct,0.028689269789685067,0.028689269789685067
688226.SH,威腾电气,科创板,2021.0,2021-2022 扩容与破发阶段,8.59141507708157,strategic_allocation_share_pct,0.05455958223396438,0.05455958223396438
688227.SH,品高股份,科创板,2021.0,2021-2022 扩容与破发阶段,8.058419042879384,strategic_allocation_share_pct,-0.005025229528069769,0.005025229528069769
688228.SH,开普云,科创板,2020.0,2019-2020 注册制早期,7.523791853221639,strategic_allocation_share_pct,-0.015213943543042825,0.015213943543042825
688229.SH,博睿数据,科创板,2020.0,2019-2020 注册制早期,7.694954621100448,strategic_allocation_share_pct,0.011663952611473462,0.011663952611473462
688230.SH,芯导科技,科创板,2021.0,2021-2022 扩容与破发阶段,7.700479749541182,strategic_allocation_share_pct,-0.00126000682546371,0.00126000682546371
688231.SH,隆达股份,科创板,2022.0,2021-2022 扩容与破发阶段,7.791411201351449,strategic_allocation_share_pct,0.02946927799796755,0.02946927799796755
688232.SH,新点软件,科创板,2021.0,2021-2022 扩容与破发阶段,7.150775886195198,strategic_allocation_share_pct,0.031348611688526797,0.031348611688526797
688233.SH,神工股份,科创板,2020.0,2019-2020 注册制早期,7.152598872048945,strategic_allocation_share_pct,-0.012479346809512657,0.012479346809512657
688234.SH,天岳先进,科创板,2022.0,2021-2022 扩容与破发阶段,7.6714980992429025,strategic_allocation_share_pct,-0.047718935369182855,0.047718935369182855
688235.SH,百济神州,科创板,2021.0,2021-2022 扩容与破发阶段,6.099820845923037,strategic_allocation_share_pct,-0.1060055565173907,0.1060055565173907
688236.SH,春立医疗,科创板,2021.0,2021-2022 扩容与破发阶段,8.177590090751142,strategic_allocation_share_pct,0.022194285549667035,0.022194285549667035
688237.SH,超卓航科,科创板,2022.0,2021-2022 扩容与破发阶段,8.03305643030938,strategic_allocation_share_pct,-0.024201561362402653,0.024201561362402653
688238.SH,和元生物,科创板,2022.0,2021-2022 扩容与破发阶段,7.847223798629894,strategic_allocation_share_pct,-0.013163473066213013,0.013163473066213013
688239.SH,航宇科技,科创板,2021.0,2021-2022 扩容与破发阶段,8.237737535688268,strategic_allocation_share_pct,0.05511725956281606,0.05511725956281606
688244.SH,永信至诚,科创板,2022.0,2021-2022 扩容与破发阶段,8.116172432540775,strategic_allocation_share_pct,0.06228619375136508,0.06228619375136508
